year,msa,offense_category,count
2005.0,"Binghamton, NY M.S.A.",robbery,98.0
2005.0,"Bismarck, ND M.S.A.",aggravated_assault,78.0
2005.0,"Bismarck, ND M.S.A.",burglary,275.0
2005.0,"Bismarck, ND M.S.A.",forcible_rape,19.0
2005.0,"Bismarck, ND M.S.A.",larceny_theft,1697.0
2005.0,"Bismarck, ND M.S.A.",motor_vehicle_theft,193.0
2005.0,"Bismarck, ND M.S.A.",murder_and_nonnegligent_manslaughter,0.0
2005.0,"Bismarck, ND M.S.A.",robbery,11.0
2005.0,"Blacksburg-Christiansburg-Radford, VA M.S.A.",aggravated_assault,194.0
2005.0,"Blacksburg-Christiansburg-Radford, VA M.S.A.",burglary,745.0
2005.0,"Blacksburg-Christiansburg-Radford, VA M.S.A.",forcible_rape,50.0
2005.0,"Blacksburg-Christiansburg-Radford, VA M.S.A.",larceny_theft,3160.0
2005.0,"Blacksburg-Christiansburg-Radford, VA M.S.A.",motor_vehicle_theft,190.0
2005.0,"Blacksburg-Christiansburg-Radford, VA M.S.A.",murder_and_nonnegligent_manslaughter,2.0
2005.0,"Blacksburg-Christiansburg-Radford, VA M.S.A.",robbery,53.0
2005.0,"Bloomington, IN M.S.A.",aggravated_assault,160.0
2005.0,"Bloomington, IN M.S.A.",burglary,903.0
2005.0,"Bloomington, IN M.S.A.",forcible_rape,52.0
2005.0,"Bloomington, IN M.S.A.",larceny_theft,3005.0
2005.0,"Bloomington, IN M.S.A.",motor_vehicle_theft,246.0
2005.0,"Bloomington, IN M.S.A.",murder_and_nonnegligent_manslaughter,3.0
2005.0,"Bloomington, IN M.S.A.",robbery,63.0
2005.0,"Boston-Cambridge-Quincy, MA-NH M.S.A.",aggravated_assault,10960.0
2005.0,"Boston-Cambridge-Quincy, MA-NH M.S.A.",burglary,19855.0
2005.0,"Boston-Cambridge-Quincy, MA-NH M.S.A.",forcible_rape,938.0
2005.0,"Boston-Cambridge-Quincy, MA-NH M.S.A.",larceny_theft,63075.0
2005.0,"Boston-Cambridge-Quincy, MA-NH M.S.A.",motor_vehicle_theft,12222.0
2005.0,"Boston-Cambridge-Quincy, MA-NH M.S.A.",murder_and_nonnegligent_manslaughter,117.0
