year,month,day,category,count
2005,1,15,NON-AGGRAVATED ASSAULTS,35
2005,1,15,OFFENSES AGAINST FAMILY,3
2005,1,15,ROBBERY,25
2005,1,15,SEX OFFENSES FELONIES,4
2005,1,15,SEX OFFENSES MISDEMEANORS,2
2005,1,15,VAGRANCY,2
2005,1,15,VANDALISM,58
2005,1,15,VEHICLE / BOATING LAWS,94
2005,1,15,WEAPON LAWS,12
2005,1,16,AGGRAVATED ASSAULT,33
2005,1,16,ARSON,5
2005,1,16,BURGLARY,56
2005,1,16,CRIMINAL HOMICIDE,3
2005,1,16,DISORDERLY CONDUCT,13
2005,1,16,DRUNK / ALCOHOL / DRUGS,7
2005,1,16,DRUNK DRIVING VEHICLE / BOAT,10
2005,1,16,FELONIES MISCELLANEOUS,11
2005,1,16,FORCIBLE RAPE,3
2005,1,16,FORGERY,7
2005,1,16,FRAUD AND NSF CHECKS,27
2005,1,16,GRAND THEFT AUTO,57
2005,1,16,LARCENY THEFT,96
2005,1,16,LIQUOR LAWS,4
2005,1,16,MISDEMEANORS MISCELLANEOUS,6
2005,1,16,NARCOTICS,40
2005,1,16,NON-AGGRAVATED ASSAULTS,38
2005,1,16,OFFENSES AGAINST FAMILY,3
2005,1,16,ROBBERY,23
2005,1,16,SEX OFFENSES FELONIES,5
2005,1,16,VAGRANCY,5
2005,1,16,VANDALISM,74
2005,1,16,VEHICLE / BOATING LAWS,62
2005,1,16,WEAPON LAWS,4
2005,1,17,AGGRAVATED ASSAULT,21
2005,1,17,ARSON,2
2005,1,17,BURGLARY,45
2005,1,17,DISORDERLY CONDUCT,3
2005,1,17,DRUNK / ALCOHOL / DRUGS,8
2005,1,17,DRUNK DRIVING VEHICLE / BOAT,9
2005,1,17,FEDERAL OFFENSES WITH MONEY,2
2005,1,17,FELONIES MISCELLANEOUS,7
2005,1,17,FORCIBLE RAPE,2
2005,1,17,FORGERY,9
2005,1,17,FRAUD AND NSF CHECKS,14
2005,1,17,GRAND THEFT AUTO,45
2005,1,17,LARCENY THEFT,108
2005,1,17,LIQUOR LAWS,3
2005,1,17,MISDEMEANORS MISCELLANEOUS,14
2005,1,17,NARCOTICS,46
2005,1,17,NON-AGGRAVATED ASSAULTS,43
2005,1,17,OFFENSES AGAINST FAMILY,1
2005,1,17,RECEIVING STOLEN PROPERTY,1
2005,1,17,ROBBERY,24
2005,1,17,SEX OFFENSES FELONIES,3
2005,1,17,SEX OFFENSES MISDEMEANORS,1
2005,1,17,VANDALISM,54
2005,1,17,VEHICLE / BOATING LAWS,56
2005,1,17,WEAPON LAWS,10
2005,1,18,AGGRAVATED ASSAULT,29
2005,1,18,ARSON,1
2005,1,18,BURGLARY,50
2005,1,18,CRIMINAL HOMICIDE,1
2005,1,18,DISORDERLY CONDUCT,10
2005,1,18,DRUNK / ALCOHOL / DRUGS,4
2005,1,18,DRUNK DRIVING VEHICLE / BOAT,6
2005,1,18,FEDERAL OFFENSES WITH MONEY,4
2005,1,18,FELONIES MISCELLANEOUS,11
2005,1,18,FORCIBLE RAPE,3
2005,1,18,FORGERY,16
2005,1,18,FRAUD AND NSF CHECKS,26
2005,1,18,GRAND THEFT AUTO,62
2005,1,18,LARCENY THEFT,105
2005,1,18,LIQUOR LAWS,1
2005,1,18,MISDEMEANORS MISCELLANEOUS,10
2005,1,18,NARCOTICS,55
2005,1,18,NON-AGGRAVATED ASSAULTS,32
2005,1,18,OFFENSES AGAINST FAMILY,4
2005,1,18,RECEIVING STOLEN PROPERTY,2
2005,1,18,ROBBERY,10
2005,1,18,SEX OFFENSES FELONIES,3
2005,1,18,SEX OFFENSES MISDEMEANORS,5
2005,1,18,VANDALISM,47
2005,1,18,VEHICLE / BOATING LAWS,70
2005,1,18,WARRANTS,1
2005,1,18,WEAPON LAWS,11
2005,1,19,AGGRAVATED ASSAULT,19
2005,1,19,ARSON,2
2005,1,19,BURGLARY,51
2005,1,19,CRIMINAL HOMICIDE,1
2005,1,19,DISORDERLY CONDUCT,9
2005,1,19,DRUNK / ALCOHOL / DRUGS,6
2005,1,19,DRUNK DRIVING VEHICLE / BOAT,8
2005,1,19,FEDERAL OFFENSES WITH MONEY,1
2005,1,19,FELONIES MISCELLANEOUS,15
2005,1,19,FORCIBLE RAPE,2
2005,1,19,FORGERY,14
2005,1,19,FRAUD AND NSF CHECKS,28
2005,1,19,GAMBLING,1
2005,1,19,GRAND THEFT AUTO,55
2005,1,19,LARCENY THEFT,82
2005,1,19,LIQUOR LAWS,4
2005,1,19,MISDEMEANORS MISCELLANEOUS,10
2005,1,19,NARCOTICS,44
2005,1,19,NON-AGGRAVATED ASSAULTS,37
2005,1,19,RECEIVING STOLEN PROPERTY,1
2005,1,19,ROBBERY,20
2005,1,19,SEX OFFENSES FELONIES,5
2005,1,19,SEX OFFENSES MISDEMEANORS,11
2005,1,19,VAGRANCY,3
2005,1,19,VANDALISM,28
2005,1,19,VEHICLE / BOATING LAWS,77
2005,1,19,WARRANTS,10
2005,1,19,WEAPON LAWS,8
2005,1,20,AGGRAVATED ASSAULT,19
2005,1,20,ARSON,2
2005,1,20,BURGLARY,46
2005,1,20,CRIMINAL HOMICIDE,1
2005,1,20,DISORDERLY CONDUCT,13
2005,1,20,DRUNK / ALCOHOL / DRUGS,3
2005,1,20,DRUNK DRIVING VEHICLE / BOAT,4
2005,1,20,FELONIES MISCELLANEOUS,8
2005,1,20,FORCIBLE RAPE,1
2005,1,20,FORGERY,11
2005,1,20,FRAUD AND NSF CHECKS,21
2005,1,20,GRAND THEFT AUTO,58
2005,1,20,LARCENY THEFT,108
2005,1,20,LIQUOR LAWS,10
2005,1,20,MISDEMEANORS MISCELLANEOUS,14
2005,1,20,NARCOTICS,50
2005,1,20,NON-AGGRAVATED ASSAULTS,40
2005,1,20,OFFENSES AGAINST FAMILY,3
2005,1,20,RECEIVING STOLEN PROPERTY,2
2005,1,20,ROBBERY,10
2005,1,20,SEX OFFENSES FELONIES,4
2005,1,20,SEX OFFENSES MISDEMEANORS,4
2005,1,20,VANDALISM,31
2005,1,20,VEHICLE / BOATING LAWS,75
2005,1,20,WARRANTS,1
2005,1,20,WEAPON LAWS,16
2005,1,21,AGGRAVATED ASSAULT,22
2005,1,21,ARSON,2
2005,1,21,BURGLARY,55
2005,1,21,DISORDERLY CONDUCT,11
2005,1,21,DRUNK / ALCOHOL / DRUGS,3
2005,1,21,DRUNK DRIVING VEHICLE / BOAT,8
2005,1,21,FEDERAL OFFENSES WITH MONEY,4
2005,1,21,FELONIES MISCELLANEOUS,9
2005,1,21,FORGERY,18
2005,1,21,FRAUD AND NSF CHECKS,48
2005,1,21,GRAND THEFT AUTO,59
2005,1,21,LARCENY THEFT,105
2005,1,21,LIQUOR LAWS,3
2005,1,21,MISDEMEANORS MISCELLANEOUS,12
2005,1,21,NARCOTICS,61
2005,1,21,NON-AGGRAVATED ASSAULTS,32
2005,1,21,OFFENSES AGAINST FAMILY,3
2005,1,21,RECEIVING STOLEN PROPERTY,1
2005,1,21,ROBBERY,22
2005,1,21,SEX OFFENSES MISDEMEANORS,5
2005,1,21,VAGRANCY,1
2005,1,21,VANDALISM,33
2005,1,21,VEHICLE / BOATING LAWS,131
2005,1,21,WEAPON LAWS,14
2005,1,22,AGGRAVATED ASSAULT,38
2005,1,22,ARSON,5
2005,1,22,BURGLARY,48
2005,1,22,CRIMINAL HOMICIDE,2
2005,1,22,DISORDERLY CONDUCT,4
2005,1,22,DRUNK / ALCOHOL / DRUGS,11
2005,1,22,DRUNK DRIVING VEHICLE / BOAT,18
2005,1,22,FEDERAL OFFENSES WITH MONEY,2
2005,1,22,FELONIES MISCELLANEOUS,7
2005,1,22,FORCIBLE RAPE,3
2005,1,22,FORGERY,7
2005,1,22,FRAUD AND NSF CHECKS,12
