year,month,day,OFFENSE,count
2016,2,15,SEX ABUSE,3
2016,2,15,THEFT F/AUTO,17
2016,2,15,THEFT/OTHER,15
2016,2,16,ASSAULT W/DANGEROUS WEAPON,6
2016,2,16,BURGLARY,6
2016,2,16,MOTOR VEHICLE THEFT,2
2016,2,16,ROBBERY,8
2016,2,16,THEFT F/AUTO,20
2016,2,16,THEFT/OTHER,37
2016,2,17,ASSAULT W/DANGEROUS WEAPON,8
2016,2,17,BURGLARY,5
2016,2,17,MOTOR VEHICLE THEFT,3
2016,2,17,ROBBERY,4
2016,2,17,SEX ABUSE,1
2016,2,17,THEFT F/AUTO,36
2016,2,17,THEFT/OTHER,33
2016,2,18,ARSON,1
2016,2,18,ASSAULT W/DANGEROUS WEAPON,7
2016,2,18,BURGLARY,7
2016,2,18,HOMICIDE,2
2016,2,18,MOTOR VEHICLE THEFT,8
2016,2,18,ROBBERY,15
2016,2,18,THEFT F/AUTO,19
2016,2,18,THEFT/OTHER,29
2016,2,19,ASSAULT W/DANGEROUS WEAPON,5
2016,2,19,BURGLARY,3
2016,2,19,HOMICIDE,1
2016,2,19,MOTOR VEHICLE THEFT,3
2016,2,19,ROBBERY,6
2016,2,19,THEFT F/AUTO,18
2016,2,19,THEFT/OTHER,32
2016,2,20,ASSAULT W/DANGEROUS WEAPON,6
2016,2,20,HOMICIDE,1
2016,2,20,MOTOR VEHICLE THEFT,1
2016,2,20,ROBBERY,11
2016,2,20,THEFT F/AUTO,19
2016,2,20,THEFT/OTHER,25
2016,2,21,ASSAULT W/DANGEROUS WEAPON,5
2016,2,21,BURGLARY,4
2016,2,21,MOTOR VEHICLE THEFT,2
2016,2,21,ROBBERY,13
2016,2,21,THEFT F/AUTO,25
2016,2,21,THEFT/OTHER,30
2016,2,22,ASSAULT W/DANGEROUS WEAPON,5
2016,2,22,BURGLARY,6
2016,2,22,HOMICIDE,1
2016,2,22,MOTOR VEHICLE THEFT,9
2016,2,22,ROBBERY,10
2016,2,22,SEX ABUSE,1
2016,2,22,THEFT F/AUTO,25
2016,2,22,THEFT/OTHER,40
2016,2,23,ASSAULT W/DANGEROUS WEAPON,7
2016,2,23,BURGLARY,5
2016,2,23,MOTOR VEHICLE THEFT,4
2016,2,23,ROBBERY,11
2016,2,23,THEFT F/AUTO,37
2016,2,23,THEFT/OTHER,27
2016,2,24,ASSAULT W/DANGEROUS WEAPON,3
2016,2,24,BURGLARY,9
2016,2,24,HOMICIDE,1
2016,2,24,MOTOR VEHICLE THEFT,4
2016,2,24,ROBBERY,9
2016,2,24,THEFT F/AUTO,27
2016,2,24,THEFT/OTHER,28
2016,2,25,ASSAULT W/DANGEROUS WEAPON,2
2016,2,25,BURGLARY,5
2016,2,25,MOTOR VEHICLE THEFT,5
2016,2,25,ROBBERY,10
2016,2,25,THEFT F/AUTO,40
2016,2,25,THEFT/OTHER,29
2016,2,26,ASSAULT W/DANGEROUS WEAPON,7
2016,2,26,BURGLARY,8
2016,2,26,MOTOR VEHICLE THEFT,7
2016,2,26,ROBBERY,7
2016,2,26,SEX ABUSE,2
2016,2,26,THEFT F/AUTO,30
2016,2,26,THEFT/OTHER,38
2016,2,27,ASSAULT W/DANGEROUS WEAPON,7
2016,2,27,BURGLARY,3
2016,2,27,MOTOR VEHICLE THEFT,3
2016,2,27,ROBBERY,7
2016,2,27,SEX ABUSE,1
2016,2,27,THEFT F/AUTO,14
2016,2,27,THEFT/OTHER,41
2016,2,28,ASSAULT W/DANGEROUS WEAPON,6
2016,2,28,BURGLARY,2
2016,2,28,MOTOR VEHICLE THEFT,4
2016,2,28,ROBBERY,7
2016,2,28,THEFT F/AUTO,26
2016,2,28,THEFT/OTHER,26
2016,2,29,ARSON,1
2016,2,29,ASSAULT W/DANGEROUS WEAPON,8
2016,2,29,BURGLARY,5
2016,2,29,MOTOR VEHICLE THEFT,8
2016,2,29,ROBBERY,6
2016,2,29,SEX ABUSE,1
2016,2,29,THEFT F/AUTO,27
2016,2,29,THEFT/OTHER,39
2016,3,1,ASSAULT W/DANGEROUS WEAPON,4
2016,3,1,BURGLARY,2
2016,3,1,HOMICIDE,1
2016,3,1,MOTOR VEHICLE THEFT,2
2016,3,1,ROBBERY,9
2016,3,1,THEFT F/AUTO,26
2016,3,1,THEFT/OTHER,35
2016,3,2,ASSAULT W/DANGEROUS WEAPON,4
2016,3,2,BURGLARY,4
2016,3,2,HOMICIDE,1
2016,3,2,MOTOR VEHICLE THEFT,4
2016,3,2,ROBBERY,4
2016,3,2,SEX ABUSE,1
2016,3,2,THEFT F/AUTO,47
2016,3,2,THEFT/OTHER,43
2016,3,3,ASSAULT W/DANGEROUS WEAPON,3
2016,3,3,BURGLARY,4
2016,3,3,MOTOR VEHICLE THEFT,3
2016,3,3,ROBBERY,8
2016,3,3,THEFT F/AUTO,22
2016,3,3,THEFT/OTHER,36
2016,3,4,ASSAULT W/DANGEROUS WEAPON,11
2016,3,4,BURGLARY,5
2016,3,4,HOMICIDE,1
2016,3,4,MOTOR VEHICLE THEFT,1
2016,3,4,ROBBERY,7
2016,3,4,SEX ABUSE,1
2016,3,4,THEFT F/AUTO,21
2016,3,4,THEFT/OTHER,31
2016,3,5,ASSAULT W/DANGEROUS WEAPON,7
2016,3,5,BURGLARY,4
2016,3,5,MOTOR VEHICLE THEFT,4
2016,3,5,ROBBERY,7
2016,3,5,SEX ABUSE,1
2016,3,5,THEFT F/AUTO,24
2016,3,5,THEFT/OTHER,20
2016,3,6,ASSAULT W/DANGEROUS WEAPON,4
2016,3,6,BURGLARY,3
2016,3,6,HOMICIDE,1
2016,3,6,MOTOR VEHICLE THEFT,5
2016,3,6,ROBBERY,9
2016,3,6,SEX ABUSE,1
2016,3,6,THEFT F/AUTO,18
2016,3,6,THEFT/OTHER,23
2016,3,7,ASSAULT W/DANGEROUS WEAPON,4
2016,3,7,BURGLARY,11
2016,3,7,MOTOR VEHICLE THEFT,9
2016,3,7,ROBBERY,5
2016,3,7,SEX ABUSE,2
2016,3,7,THEFT F/AUTO,27
2016,3,7,THEFT/OTHER,49
2016,3,8,ASSAULT W/DANGEROUS WEAPON,4
2016,3,8,BURGLARY,3
2016,3,8,MOTOR VEHICLE THEFT,5
2016,3,8,ROBBERY,8
2016,3,8,THEFT F/AUTO,31
2016,3,8,THEFT/OTHER,41
2016,3,9,ASSAULT W/DANGEROUS WEAPON,5
2016,3,9,BURGLARY,3
2016,3,9,MOTOR VEHICLE THEFT,4
2016,3,9,ROBBERY,3
2016,3,9,THEFT F/AUTO,24
2016,3,9,THEFT/OTHER,37
2016,3,10,ASSAULT W/DANGEROUS WEAPON,8
2016,3,10,BURGLARY,4
2016,3,10,MOTOR VEHICLE THEFT,5
2016,3,10,ROBBERY,9
2016,3,10,SEX ABUSE,1
2016,3,10,THEFT F/AUTO,20
2016,3,10,THEFT/OTHER,33
2016,3,11,ASSAULT W/DANGEROUS WEAPON,7
2016,3,11,BURGLARY,1
2016,3,11,HOMICIDE,1
2016,3,11,MOTOR VEHICLE THEFT,7
2016,3,11,ROBBERY,13
2016,3,11,SEX ABUSE,1
2016,3,11,THEFT F/AUTO,14
2016,3,11,THEFT/OTHER,24
2016,3,12,ASSAULT W/DANGEROUS WEAPON,5
2016,3,12,BURGLARY,4
2016,3,12,MOTOR VEHICLE THEFT,3
2016,3,12,ROBBERY,6
2016,3,12,SEX ABUSE,1
2016,3,12,THEFT F/AUTO,17
2016,3,12,THEFT/OTHER,30
2016,3,13,ASSAULT W/DANGEROUS WEAPON,8
2016,3,13,BURGLARY,3
2016,3,13,MOTOR VEHICLE THEFT,3
2016,3,13,ROBBERY,5
2016,3,13,SEX ABUSE,2
2016,3,13,THEFT F/AUTO,27
2016,3,13,THEFT/OTHER,29
2016,3,14,ASSAULT W/DANGEROUS WEAPON,5
2016,3,14,BURGLARY,5
2016,3,14,MOTOR VEHICLE THEFT,3
2016,3,14,ROBBERY,5
2016,3,14,SEX ABUSE,2
2016,3,14,THEFT F/AUTO,21
2016,3,14,THEFT/OTHER,42
2016,3,15,ASSAULT W/DANGEROUS WEAPON,7
2016,3,15,BURGLARY,5
2016,3,15,MOTOR VEHICLE THEFT,7
2016,3,15,ROBBERY,7
2016,3,15,THEFT F/AUTO,28
2016,3,15,THEFT/OTHER,42
2016,3,16,ASSAULT W/DANGEROUS WEAPON,9
2016,3,16,BURGLARY,2
2016,3,16,MOTOR VEHICLE THEFT,7
2016,3,16,ROBBERY,3
2016,3,16,SEX ABUSE,3
2016,3,16,THEFT F/AUTO,24
2016,3,16,THEFT/OTHER,42
2016,3,17,ASSAULT W/DANGEROUS WEAPON,3
2016,3,17,BURGLARY,8
2016,3,17,HOMICIDE,3
2016,3,17,MOTOR VEHICLE THEFT,4
2016,3,17,ROBBERY,7
2016,3,17,THEFT F/AUTO,26
2016,3,17,THEFT/OTHER,39
2016,3,18,ASSAULT W/DANGEROUS WEAPON,8
2016,3,18,BURGLARY,6
2016,3,18,MOTOR VEHICLE THEFT,10
2016,3,18,ROBBERY,6
2016,3,18,SEX ABUSE,1
2016,3,18,THEFT F/AUTO,27
2016,3,18,THEFT/OTHER,48
2016,3,19,ASSAULT W/DANGEROUS WEAPON,5
2016,3,19,BURGLARY,6
2016,3,19,MOTOR VEHICLE THEFT,8
2016,3,19,ROBBERY,9
2016,3,19,SEX ABUSE,3
2016,3,19,THEFT F/AUTO,21
2016,3,19,THEFT/OTHER,37
2016,3,20,ASSAULT W/DANGEROUS WEAPON,7
2016,3,20,BURGLARY,4
2016,3,20,MOTOR VEHICLE THEFT,4
2016,3,20,ROBBERY,9
2016,3,20,SEX ABUSE,1
2016,3,20,THEFT F/AUTO,23
2016,3,20,THEFT/OTHER,28
2016,3,21,ASSAULT W/DANGEROUS WEAPON,8
2016,3,21,BURGLARY,6
2016,3,21,MOTOR VEHICLE THEFT,6
2016,3,21,ROBBERY,8
2016,3,21,THEFT F/AUTO,26
2016,3,21,THEFT/OTHER,41
2016,3,22,ASSAULT W/DANGEROUS WEAPON,4
2016,3,22,BURGLARY,5
2016,3,22,HOMICIDE,1
2016,3,22,MOTOR VEHICLE THEFT,4
2016,3,22,ROBBERY,3
2016,3,22,THEFT F/AUTO,36
2016,3,22,THEFT/OTHER,38
2016,3,23,ASSAULT W/DANGEROUS WEAPON,5
2016,3,23,BURGLARY,6
2016,3,23,MOTOR VEHICLE THEFT,7
2016,3,23,ROBBERY,7
2016,3,23,THEFT F/AUTO,29
2016,3,23,THEFT/OTHER,36
2016,3,24,ASSAULT W/DANGEROUS WEAPON,11
2016,3,24,BURGLARY,2
2016,3,24,HOMICIDE,1
2016,3,24,MOTOR VEHICLE THEFT,7
2016,3,24,ROBBERY,6
2016,3,24,THEFT F/AUTO,24
2016,3,24,THEFT/OTHER,33
2016,3,25,ASSAULT W/DANGEROUS WEAPON,7
2016,3,25,BURGLARY,10
2016,3,25,MOTOR VEHICLE THEFT,4
2016,3,25,ROBBERY,7
2016,3,25,THEFT F/AUTO,34
2016,3,25,THEFT/OTHER,51
2016,3,26,ASSAULT W/DANGEROUS WEAPON,10
2016,3,26,BURGLARY,3
2016,3,26,HOMICIDE,1
2016,3,26,MOTOR VEHICLE THEFT,7
2016,3,26,ROBBERY,9
2016,3,26,SEX ABUSE,1
2016,3,26,THEFT F/AUTO,30
2016,3,26,THEFT/OTHER,38
2016,3,27,ASSAULT W/DANGEROUS WEAPON,6
2016,3,27,BURGLARY,2
2016,3,27,MOTOR VEHICLE THEFT,6
2016,3,27,ROBBERY,7
2016,3,27,THEFT F/AUTO,32
2016,3,27,THEFT/OTHER,26
2016,3,28,ASSAULT W/DANGEROUS WEAPON,9
2016,3,28,BURGLARY,5
2016,3,28,MOTOR VEHICLE THEFT,3
2016,3,28,ROBBERY,3
2016,3,28,SEX ABUSE,2
2016,3,28,THEFT F/AUTO,31
2016,3,28,THEFT/OTHER,52
2016,3,29,ASSAULT W/DANGEROUS WEAPON,5
2016,3,29,BURGLARY,10
2016,3,29,MOTOR VEHICLE THEFT,2
2016,3,29,ROBBERY,8
2016,3,29,THEFT F/AUTO,25
2016,3,29,THEFT/OTHER,47
2016,3,30,ASSAULT W/DANGEROUS WEAPON,9
2016,3,30,BURGLARY,10
2016,3,30,MOTOR VEHICLE THEFT,7
2016,3,30,ROBBERY,12
2016,3,30,SEX ABUSE,2
2016,3,30,THEFT F/AUTO,30
2016,3,30,THEFT/OTHER,49
2016,3,31,ASSAULT W/DANGEROUS WEAPON,4
2016,3,31,BURGLARY,5
2016,3,31,HOMICIDE,1
2016,3,31,MOTOR VEHICLE THEFT,7
2016,3,31,ROBBERY,3
2016,3,31,THEFT F/AUTO,34
2016,3,31,THEFT/OTHER,35
2016,4,1,ASSAULT W/DANGEROUS WEAPON,9
2016,4,1,BURGLARY,9
2016,4,1,MOTOR VEHICLE THEFT,6
2016,4,1,ROBBERY,6
2016,4,1,SEX ABUSE,1
2016,4,1,THEFT F/AUTO,26
2016,4,1,THEFT/OTHER,31
2016,4,2,ASSAULT W/DANGEROUS WEAPON,5
2016,4,2,BURGLARY,11
2016,4,2,MOTOR VEHICLE THEFT,8
2016,4,2,ROBBERY,5
2016,4,2,SEX ABUSE,1
2016,4,2,THEFT F/AUTO,26
2016,4,2,THEFT/OTHER,46
2016,4,3,ASSAULT W/DANGEROUS WEAPON,8
2016,4,3,BURGLARY,7
2016,4,3,MOTOR VEHICLE THEFT,4
2016,4,3,ROBBERY,12
2016,4,3,SEX ABUSE,3
2016,4,3,THEFT F/AUTO,30
2016,4,3,THEFT/OTHER,31
2016,4,4,ASSAULT W/DANGEROUS WEAPON,8
2016,4,4,BURGLARY,8
2016,4,4,HOMICIDE,1
2016,4,4,MOTOR VEHICLE THEFT,4
2016,4,4,ROBBERY,8
2016,4,4,SEX ABUSE,3
2016,4,4,THEFT F/AUTO,23
2016,4,4,THEFT/OTHER,36
2016,4,5,ASSAULT W/DANGEROUS WEAPON,5
2016,4,5,BURGLARY,3
2016,4,5,MOTOR VEHICLE THEFT,5
2016,4,5,ROBBERY,3
2016,4,5,THEFT F/AUTO,20
2016,4,5,THEFT/OTHER,30
2016,4,6,ASSAULT W/DANGEROUS WEAPON,4
2016,4,6,BURGLARY,3
2016,4,6,MOTOR VEHICLE THEFT,5
2016,4,6,ROBBERY,8
2016,4,6,SEX ABUSE,2
2016,4,6,THEFT F/AUTO,22
2016,4,6,THEFT/OTHER,23
2016,4,7,ASSAULT W/DANGEROUS WEAPON,6
2016,4,7,BURGLARY,7
2016,4,7,MOTOR VEHICLE THEFT,5
2016,4,7,ROBBERY,6
