year,month,day,OFFENSE,count
2008,2,18,MOTOR VEHICLE THEFT,20
2008,2,18,ROBBERY,9
2008,2,18,SEX ABUSE,1
2008,2,18,THEFT/OTHER,41
2008,2,19,ASSAULT W/DANGEROUS WEAPON,7
2008,2,19,BURGLARY,15
2008,2,19,MOTOR VEHICLE THEFT,15
2008,2,19,ROBBERY,6
2008,2,19,THEFT/OTHER,35
2008,2,20,ASSAULT W/DANGEROUS WEAPON,2
2008,2,20,BURGLARY,6
2008,2,20,MOTOR VEHICLE THEFT,22
2008,2,20,ROBBERY,5
2008,2,20,THEFT/OTHER,53
2008,2,21,ASSAULT W/DANGEROUS WEAPON,8
2008,2,21,BURGLARY,7
2008,2,21,MOTOR VEHICLE THEFT,10
2008,2,21,ROBBERY,4
2008,2,21,THEFT/OTHER,47
2008,2,22,ASSAULT W/DANGEROUS WEAPON,14
2008,2,22,BURGLARY,10
2008,2,22,MOTOR VEHICLE THEFT,12
2008,2,22,ROBBERY,13
2008,2,22,THEFT/OTHER,62
2008,2,23,ASSAULT W/DANGEROUS WEAPON,5
2008,2,23,BURGLARY,5
2008,2,23,MOTOR VEHICLE THEFT,21
2008,2,23,ROBBERY,16
2008,2,23,THEFT/OTHER,53
2008,2,24,ASSAULT W/DANGEROUS WEAPON,9
2008,2,24,BURGLARY,3
2008,2,24,MOTOR VEHICLE THEFT,14
2008,2,24,ROBBERY,15
2008,2,24,THEFT/OTHER,47
2008,2,25,ASSAULT W/DANGEROUS WEAPON,5
2008,2,25,BURGLARY,20
2008,2,25,MOTOR VEHICLE THEFT,8
2008,2,25,ROBBERY,10
2008,2,25,THEFT/OTHER,53
2008,2,26,ASSAULT W/DANGEROUS WEAPON,7
2008,2,26,BURGLARY,16
2008,2,26,MOTOR VEHICLE THEFT,13
2008,2,26,ROBBERY,6
2008,2,26,THEFT/OTHER,58
2008,2,27,ASSAULT W/DANGEROUS WEAPON,3
2008,2,27,BURGLARY,10
2008,2,27,MOTOR VEHICLE THEFT,21
2008,2,27,ROBBERY,7
2008,2,27,THEFT/OTHER,53
2008,2,28,ASSAULT W/DANGEROUS WEAPON,8
2008,2,28,BURGLARY,18
2008,2,28,HOMICIDE,1
2008,2,28,MOTOR VEHICLE THEFT,7
2008,2,28,ROBBERY,5
2008,2,28,THEFT/OTHER,42
2008,2,29,ASSAULT W/DANGEROUS WEAPON,8
2008,2,29,BURGLARY,7
2008,2,29,MOTOR VEHICLE THEFT,11
2008,2,29,ROBBERY,7
2008,2,29,SEX ABUSE,1
2008,2,29,THEFT/OTHER,28
2008,3,1,ASSAULT W/DANGEROUS WEAPON,7
2008,3,1,BURGLARY,8
2008,3,1,MOTOR VEHICLE THEFT,11
2008,3,1,ROBBERY,8
2008,3,1,SEX ABUSE,1
2008,3,1,THEFT/OTHER,51
2008,3,2,ASSAULT W/DANGEROUS WEAPON,9
2008,3,2,BURGLARY,7
2008,3,2,MOTOR VEHICLE THEFT,14
2008,3,2,ROBBERY,12
2008,3,2,THEFT/OTHER,41
2008,3,3,ASSAULT W/DANGEROUS WEAPON,7
2008,3,3,BURGLARY,17
2008,3,3,HOMICIDE,1
2008,3,3,MOTOR VEHICLE THEFT,6
2008,3,3,ROBBERY,10
2008,3,3,THEFT/OTHER,41
2008,3,4,ASSAULT W/DANGEROUS WEAPON,10
2008,3,4,BURGLARY,4
2008,3,4,MOTOR VEHICLE THEFT,14
2008,3,4,ROBBERY,7
2008,3,4,SEX ABUSE,1
2008,3,4,THEFT/OTHER,58
2008,3,5,ASSAULT W/DANGEROUS WEAPON,11
2008,3,5,BURGLARY,12
2008,3,5,MOTOR VEHICLE THEFT,5
2008,3,5,ROBBERY,4
2008,3,5,THEFT/OTHER,41
2008,3,6,ASSAULT W/DANGEROUS WEAPON,8
2008,3,6,BURGLARY,8
2008,3,6,MOTOR VEHICLE THEFT,8
2008,3,6,ROBBERY,5
2008,3,6,THEFT/OTHER,52
2008,3,7,ARSON,1
2008,3,7,ASSAULT W/DANGEROUS WEAPON,6
2008,3,7,BURGLARY,8
2008,3,7,MOTOR VEHICLE THEFT,15
2008,3,7,ROBBERY,11
2008,3,7,THEFT/OTHER,39
2008,3,8,ASSAULT W/DANGEROUS WEAPON,11
2008,3,8,BURGLARY,15
2008,3,8,HOMICIDE,1
2008,3,8,MOTOR VEHICLE THEFT,14
2008,3,8,ROBBERY,8
2008,3,8,THEFT/OTHER,29
2008,3,9,ASSAULT W/DANGEROUS WEAPON,9
2008,3,9,BURGLARY,3
2008,3,9,MOTOR VEHICLE THEFT,19
2008,3,9,ROBBERY,12
2008,3,9,SEX ABUSE,2
2008,3,9,THEFT/OTHER,39
2008,3,10,ASSAULT W/DANGEROUS WEAPON,8
