,year,month,day,category,count
354,2017,1,28,drug possession,27
355,2017,1,28,drunk in public,25
356,2017,1,28,fraud,1
357,2017,1,28,illegal conceal or carry of weapon,4
358,2017,1,28,"illegal sales, manufacture, or transport",1
359,2017,1,28,motor vehicle theft,48
360,2017,1,28,other,29
361,2017,1,28,"sex crimes, not child-related",1
362,2017,1,28,theft,67
363,2017,1,28,vandalism,35
364,2017,1,29,arson,1
365,2017,1,29,assault,11
366,2017,1,29,battery,25
367,2017,1,29,burglary,41
368,2017,1,29,disorderly conduct,7
369,2017,1,29,driving under the influence,19
370,2017,1,29,drug possession,22
371,2017,1,29,drunk in public,16
372,2017,1,29,fraud,1
373,2017,1,29,illegal conceal or carry of weapon,6
374,2017,1,29,"illegal sales, manufacture, or transport",4
375,2017,1,29,motor vehicle theft,43
376,2017,1,29,other,24
377,2017,1,29,"sex crimes, not child-related",7
378,2017,1,29,theft,59
379,2017,1,29,vandalism,27
380,2017,1,3,arson,1
381,2017,1,3,assault,8
382,2017,1,3,battery,14
383,2017,1,3,burglary,37
384,2017,1,3,child-related crimes,3
385,2017,1,3,disorderly conduct,5
386,2017,1,3,driving under the influence,6
387,2017,1,3,drug possession,25
388,2017,1,3,drunk in public,5
389,2017,1,3,fraud,5
390,2017,1,3,illegal conceal or carry of weapon,3
391,2017,1,3,"illegal sales, manufacture, or transport",3
392,2017,1,3,motor vehicle theft,39
393,2017,1,3,other,30
394,2017,1,3,"sex crimes, not child-related",5
395,2017,1,3,theft,57
396,2017,1,3,vandalism,22
397,2017,1,3,weapon-related crime,1
398,2017,1,30,arson,2
399,2017,1,30,assault,17
400,2017,1,30,battery,25
401,2017,1,30,burglary,64
402,2017,1,30,child-related crimes,2
403,2017,1,30,disorderly conduct,9
404,2017,1,30,driving under the influence,6
405,2017,1,30,drug possession,48
406,2017,1,30,drunk in public,12
407,2017,1,30,fraud,4
408,2017,1,30,illegal conceal or carry of weapon,3
409,2017,1,30,"illegal sales, manufacture, or transport",2
410,2017,1,30,motor vehicle theft,41
411,2017,1,30,other,33
412,2017,1,30,"sex crimes, not child-related",5
413,2017,1,30,theft,78
414,2017,1,30,vandalism,25
415,2017,1,30,weapon-related crime,3
416,2017,1,31,assault,13
417,2017,1,31,battery,26
418,2017,1,31,burglary,42
419,2017,1,31,child-related crimes,2
420,2017,1,31,disorderly conduct,7
421,2017,1,31,driving under the influence,6
422,2017,1,31,drug possession,28
423,2017,1,31,drunk in public,21
424,2017,1,31,fraud,7
425,2017,1,31,illegal conceal or carry of weapon,5
426,2017,1,31,"illegal sales, manufacture, or transport",2
427,2017,1,31,motor vehicle theft,43
428,2017,1,31,other,34
429,2017,1,31,"sex crimes, not child-related",7
430,2017,1,31,theft,80
431,2017,1,31,vandalism,23
