,year,month,day,category,count
697,2016,11,17,driving under the influence,10
698,2016,11,17,drug possession,44
699,2016,11,17,drunk in public,13
700,2016,11,17,fraud,8
701,2016,11,17,illegal conceal or carry of weapon,5
702,2016,11,17,"illegal sales, manufacture, or transport",4
703,2016,11,17,motor vehicle theft,50
704,2016,11,17,other,33
705,2016,11,17,"sex crimes, not child-related",5
706,2016,11,17,theft,69
707,2016,11,17,vandalism,18
708,2016,11,18,assault,16
709,2016,11,18,battery,24
710,2016,11,18,burglary,54
711,2016,11,18,child-related crimes,3
712,2016,11,18,disorderly conduct,8
713,2016,11,18,driving under the influence,10
714,2016,11,18,drug possession,51
715,2016,11,18,drunk in public,13
716,2016,11,18,fraud,5
717,2016,11,18,illegal conceal or carry of weapon,5
718,2016,11,18,"illegal sales, manufacture, or transport",4
719,2016,11,18,motor vehicle theft,35
720,2016,11,18,murder,1
721,2016,11,18,other,44
722,2016,11,18,"sex crimes, not child-related",4
723,2016,11,18,theft,89
724,2016,11,18,vandalism,33
725,2016,11,18,weapon-related crime,1
726,2016,11,19,arson,1
727,2016,11,19,assault,8
728,2016,11,19,battery,23
729,2016,11,19,burglary,51
730,2016,11,19,child-related crimes,1
731,2016,11,19,disorderly conduct,6
732,2016,11,19,driving under the influence,25
733,2016,11,19,drug possession,25
734,2016,11,19,drunk in public,15
735,2016,11,19,fraud,6
736,2016,11,19,illegal conceal or carry of weapon,4
737,2016,11,19,motor vehicle theft,38
738,2016,11,19,other,33
739,2016,11,19,"sex crimes, not child-related",8
740,2016,11,19,theft,89
741,2016,11,19,vandalism,19
742,2016,11,2,arson,1
743,2016,11,2,assault,9
744,2016,11,2,battery,29
745,2016,11,2,burglary,56
746,2016,11,2,child-related crimes,2
747,2016,11,2,disorderly conduct,6
748,2016,11,2,driving under the influence,6
749,2016,11,2,drug possession,30
750,2016,11,2,drunk in public,8
751,2016,11,2,fraud,7
752,2016,11,2,illegal conceal or carry of weapon,4
753,2016,11,2,"illegal sales, manufacture, or transport",1
754,2016,11,2,motor vehicle theft,28
755,2016,11,2,other,40
756,2016,11,2,"sex crimes, not child-related",5
757,2016,11,2,theft,50
758,2016,11,2,vandalism,15
759,2016,11,2,weapon-related crime,4
760,2016,11,20,assault,8
761,2016,11,20,battery,13
762,2016,11,20,burglary,50
763,2016,11,20,child-related crimes,3
764,2016,11,20,disorderly conduct,9
765,2016,11,20,driving under the influence,29
766,2016,11,20,drug possession,22
767,2016,11,20,drunk in public,8
768,2016,11,20,fraud,3
769,2016,11,20,illegal conceal or carry of weapon,2
770,2016,11,20,"illegal sales, manufacture, or transport",3
771,2016,11,20,motor vehicle theft,36
772,2016,11,20,other,26
773,2016,11,20,"sex crimes, not child-related",1
774,2016,11,20,theft,67
775,2016,11,20,vandalism,17
776,2016,11,20,weapon-related crime,2
777,2016,11,21,assault,7
778,2016,11,21,attempted murder,1
779,2016,11,21,battery,14
780,2016,11,21,burglary,39
781,2016,11,21,disorderly conduct,5
782,2016,11,21,driving under the influence,9
783,2016,11,21,drug possession,21
784,2016,11,21,drunk in public,11
785,2016,11,21,fraud,3
786,2016,11,21,illegal conceal or carry of weapon,2
787,2016,11,21,"illegal sales, manufacture, or transport",2
788,2016,11,21,motor vehicle theft,40
789,2016,11,21,murder,1
790,2016,11,21,other,23
791,2016,11,21,theft,82
792,2016,11,21,vandalism,23
793,2016,11,22,arson,1
794,2016,11,22,assault,12
795,2016,11,22,battery,22
796,2016,11,22,burglary,52
797,2016,11,22,disorderly conduct,5
